query,assignmentId,imageURL,Relevance,clusterNo
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/0.jpg,0,0
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/1.jpg,0,0
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/2.jpg,0,0
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/3.jpg,0,0
bebe rexha,3UWN2HHPUZCGLHB6MKLQJT6QARXSN9,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/4.jpg,2,1
bebe rexha,3UWN2HHPUZCGLHB6MKLQJT6QARXSN9,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/5.jpg,3,2
bebe rexha,3UWN2HHPUZCGLHB6MKLQJT6QARXSN9,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/6.jpg,2,1
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/7.jpg,2,1
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/8.jpg,2,2
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/9.jpg,2,2
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/10.jpg,2,1
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/11.jpg,2,2
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/12.jpg,2,1
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/13.jpg,2,3
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/14.jpg,2,2
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/15.jpg,2,1
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/16.jpg,2,3
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/17.jpg,2,3
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/18.jpg,2,2
